Seconds=  10.651	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.697	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.725	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.768	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.791	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.836	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.862	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.904	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.928	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.970	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  10.994	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.038	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.061	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.103	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.131	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.176	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.201	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.247	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.271	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.310	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.349	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.373	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.414	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.436	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.481	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.504	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.549	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.573	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.618	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.642	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.687	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.730	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.753	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.778	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.821	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.846	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.890	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.914	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.955	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  11.997	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.021	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.064	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.089	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.133	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.157	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.204	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.231	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.273	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.297	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.341	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.364	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.404	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.429	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.474	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.499	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.543	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.567	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.610	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.634	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.678	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.702	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.746	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.772	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.814	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.840	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.885	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.928	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.952	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  12.976	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.016	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.059	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.082	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.126	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
Seconds=  13.151	filter_lowpass_2D_f() received too small a tau value. tau = 	0.000100
